Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
6.327e+06,6.871e-03,-1.852e-01,7.034e-08,-9.468e-07,5.119e-06,1.899e-07,9.986e-02,3.704e-03,1.401e-09,-1.894e-08,6.981e-09,-1.899e-07,1.805e-12,-1.855e+00,1.805e-12,-1.855e+00,1.372e-03,-1.847e-02,-1.783e-14,-2.658e-15
6.531e+06,6.446e-03,-1.794e-01,5.813e-08,-8.076e-07,4.507e-06,1.621e-07,9.987e-02,3.588e-03,1.164e-09,-1.616e-08,5.834e-09,-1.621e-07,1.313e-12,-1.796e+00,1.313e-12,-1.796e+00,1.288e-03,-1.790e-02,-1.299e-14,-1.880e-15
6.735e+06,6.060e-03,-1.740e-01,4.836e-08,-6.922e-07,3.984e-06,1.392e-07,9.988e-02,3.479e-03,9.677e-10,-1.389e-08,4.839e-09,-1.392e-07,9.641e-13,-1.742e+00,9.641e-13,-1.742e+00,1.211e-03,-1.735e-02,-9.566e-15,-1.341e-15
6.939e+06,5.708e-03,-1.688e-01,4.016e-08,-5.961e-07,3.535e-06,1.184e-07,9.989e-02,3.377e-03,8.040e-10,-1.181e-08,4.047e-09,-1.184e-07,7.147e-13,-1.690e+00,7.147e-13,-1.690e+00,1.140e-03,-1.685e-02,-7.008e-15,-9.536e-16
7.143e+06,5.385e-03,-1.640e-01,3.344e-08,-5.155e-07,3.147e-06,1.006e-07,9.989e-02,3.280e-03,6.803e-10,-1.004e-08,3.507e-09,-1.006e-07,5.344e-13,-1.642e+00,5.344e-13,-1.642e+00,1.076e-03,-1.637e-02,-5.152e-15,-6.864e-16
7.347e+06,5.089e-03,-1.594e-01,2.876e-08,-4.477e-07,2.811e-06,9.069e-08,9.990e-02,3.189e-03,5.821e-10,-9.051e-09,2.932e-09,-9.069e-08,4.029e-13,-1.596e+00,4.029e-13,-1.596e+00,1.017e-03,-1.591e-02,-4.035e-15,-5.209e-16
7.551e+06,4.817e-03,-1.551e-01,2.417e-08,-3.903e-07,2.518e-06,7.757e-08,9.990e-02,3.102e-03,4.875e-10,-7.742e-09,2.471e-09,-7.757e-08,3.061e-13,-1.553e+00,3.061e-13,-1.553e+00,9.625e-04,-1.548e-02,-3.010e-15,-3.773e-16
7.755e+06,4.566e-03,-1.510e-01,2.081e-08,-3.415e-07,2.263e-06,6.935e-08,9.991e-02,3.021e-03,4.220e-10,-6.922e-09,2.127e-09,-6.935e-08,2.343e-13,-1.512e+00,2.343e-13,-1.512e+00,9.124e-04,-1.508e-02,-2.355e-15,-2.882e-16
7.959e+06,4.335e-03,-1.472e-01,1.765e-08,-2.999e-07,2.040e-06,5.985e-08,9.991e-02,2.943e-03,3.492e-10,-5.974e-09,1.733e-09,-5.984e-08,1.806e-13,-1.473e+00,1.806e-13,-1.473e+00,8.662e-04,-1.469e-02,-1.785e-15,-2.102e-16
8.163e+06,4.120e-03,-1.435e-01,1.550e-08,-2.642e-07,1.843e-06,5.511e-08,9.992e-02,2.869e-03,2.910e-10,-5.502e-09,1.330e-09,-5.511e-08,1.402e-13,-1.436e+00,1.402e-13,-1.436e+00,8.233e-04,-1.432e-02,-1.449e-15,-1.622e-16
8.367e+06,3.921e-03,-1.400e-01,1.299e-08,-2.334e-07,1.669e-06,4.603e-08,9.992e-02,2.799e-03,2.692e-10,-4.596e-09,1.405e-09,-4.603e-08,1.094e-13,-1.401e+00,1.094e-13,-1.401e+00,7.836e-04,-1.397e-02,-1.069e-15,-1.225e-16
8.571e+06,3.736e-03,-1.366e-01,1.152e-08,-2.070e-07,1.516e-06,4.289e-08,9.993e-02,2.733e-03,2.183e-10,-4.283e-09,1.012e-09,-4.289e-08,8.596e-14,-1.367e+00,8.596e-14,-1.367e+00,7.467e-04,-1.364e-02,-8.839e-16,-9.453e-17
8.776e+06,3.564e-03,-1.334e-01,1.049e-08,-1.839e-07,1.379e-06,4.180e-08,9.993e-02,2.669e-03,2.037e-10,-4.174e-09,9.224e-10,-4.180e-08,6.790e-14,-1.335e+00,6.790e-14,-1.335e+00,7.123e-04,-1.333e-02,-7.656e-16,-8.127e-17
8.980e+06,3.404e-03,-1.304e-01,9.342e-09,-1.639e-07,1.258e-06,3.880e-08,9.993e-02,2.608e-03,1.892e-10,-3.875e-09,8.803e-10,-3.880e-08,5.393e-14,-1.305e+00,5.393e-14,-1.305e+00,6.803e-04,-1.302e-02,-6.336e-16,-6.722e-17
9.184e+06,3.254e-03,-1.275e-01,7.368e-09,-1.465e-07,1.150e-06,2.844e-08,9.993e-02,2.550e-03,1.455e-10,-2.840e-09,7.304e-10,-2.844e-08,4.307e-14,-1.276e+00,4.307e-14,-1.276e+00,6.503e-04,-1.273e-02,-4.151e-16,-4.225e-17
9.388e+06,3.114e-03,-1.247e-01,6.260e-09,-1.312e-07,1.053e-06,2.390e-08,9.994e-02,2.495e-03,1.310e-10,-2.387e-09,7.137e-10,-2.391e-08,3.455e-14,-1.248e+00,3.455e-14,-1.248e+00,6.223e-04,-1.246e-02,-3.125e-16,-3.213e-17
9.592e+06,2.982e-03,-1.221e-01,5.317e-09,-1.178e-07,9.658e-07,1.996e-08,9.994e-02,2.441e-03,1.164e-10,-1.993e-09,6.772e-10,-1.996e-08,2.786e-14,-1.221e+00,2.786e-14,-1.221e+00,5.961e-04,-1.219e-02,-2.343e-16,-2.432e-17
9.796e+06,2.859e-03,-1.195e-01,4.412e-09,-1.061e-07,8.879e-07,1.567e-08,9.994e-02,2.391e-03,8.731e-11,-1.565e-09,4.987e-10,-1.567e-08,2.256e-14,-1.196e+00,2.256e-14,-1.196e+00,5.715e-04,-1.194e-02,-1.657e-16,-1.617e-17
1.000e+07,2.743e-03,-1.171e-01,5.184e-09,-9.566e-08,8.176e-07,2.511e-08,9.995e-02,2.342e-03,1.019e-10,-2.509e-09,4.308e-10,-2.511e-08,1.836e-14,-1.172e+00,1.836e-14,-1.172e+00,5.484e-04,-1.170e-02,-2.395e-16,-2.275e-17
