Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
6.327e+06,4.731e+00,1.129e+00,-2.305e+02,-1.166e+02,-5.166e+01,-1.232e+01,9.462e-02,2.257e-02,-6.470e+01,1.279e+02,-3.419e+02,1.433e+03,2.431e-05,-1.193e+01,2.303e-05,-1.802e+00,4.221e-01,2.136e-01,2.982e+04,-2.193e+04
6.531e+06,4.747e+00,1.096e+00,-2.477e+02,-1.208e+02,-5.511e+01,-1.272e+01,9.494e-02,2.192e-02,-6.919e+01,1.419e+02,-3.644e+02,1.579e+03,2.004e-05,-1.154e+01,1.905e-05,-1.746e+00,4.267e-01,2.081e-01,3.427e+04,-2.678e+04
6.735e+06,4.762e+00,1.065e+00,-2.654e+02,-1.249e+02,-5.867e+01,-1.312e+01,9.524e-02,2.129e-02,-7.382e+01,1.568e+02,-3.876e+02,1.733e+03,1.662e-05,-1.118e+01,1.585e-05,-1.692e+00,4.308e-01,2.028e-01,3.919e+04,-3.240e+04
6.939e+06,4.776e+00,1.035e+00,-2.837e+02,-1.291e+02,-6.234e+01,-1.352e+01,9.551e-02,2.071e-02,-7.860e+01,1.728e+02,-4.115e+02,1.898e+03,1.387e-05,-1.084e+01,1.326e-05,-1.642e+00,4.347e-01,1.978e-01,4.460e+04,-3.887e+04
7.143e+06,4.788e+00,1.007e+00,-3.026e+02,-1.332e+02,-6.612e+01,-1.391e+01,9.576e-02,2.015e-02,-8.352e+01,1.897e+02,-4.361e+02,2.073e+03,1.163e-05,-1.052e+01,1.115e-05,-1.595e+00,4.382e-01,1.929e-01,5.054e+04,-4.627e+04
7.347e+06,4.799e+00,9.810e-01,-3.220e+02,-1.374e+02,-7.001e+01,-1.431e+01,9.599e-02,1.962e-02,-8.858e+01,2.076e+02,-4.614e+02,2.257e+03,9.802e-06,-1.022e+01,9.418e-06,-1.551e+00,4.415e-01,1.883e-01,5.705e+04,-5.469e+04
7.551e+06,4.810e+00,9.559e-01,-3.420e+02,-1.415e+02,-7.401e+01,-1.471e+01,9.620e-02,1.912e-02,-9.379e+01,2.267e+02,-4.875e+02,2.453e+03,8.302e-06,-9.936e+00,7.994e-06,-1.509e+00,4.445e-01,1.839e-01,6.414e+04,-6.424e+04
7.755e+06,4.820e+00,9.319e-01,-3.625e+02,-1.456e+02,-7.812e+01,-1.511e+01,9.640e-02,1.864e-02,-9.914e+01,2.468e+02,-5.142e+02,2.659e+03,7.063e-06,-9.668e+00,6.815e-06,-1.469e+00,4.472e-01,1.797e-01,7.187e+04,-7.501e+04
7.959e+06,4.829e+00,9.092e-01,-3.835e+02,-1.497e+02,-8.234e+01,-1.550e+01,9.658e-02,1.818e-02,-1.046e+02,2.680e+02,-5.417e+02,2.877e+03,6.035e-06,-9.414e+00,5.833e-06,-1.431e+00,4.498e-01,1.756e-01,8.026e+04,-8.712e+04
8.163e+06,4.837e+00,8.874e-01,-4.051e+02,-1.538e+02,-8.667e+01,-1.590e+01,9.674e-02,1.775e-02,-1.103e+02,2.904e+02,-5.699e+02,3.106e+03,5.178e-06,-9.173e+00,5.013e-06,-1.395e+00,4.522e-01,1.717e-01,8.934e+04,-1.007e+05
8.367e+06,4.845e+00,8.667e-01,-4.273e+02,-1.579e+02,-9.111e+01,-1.630e+01,9.690e-02,1.733e-02,-1.160e+02,3.140e+02,-5.988e+02,3.347e+03,4.459e-06,-8.944e+00,4.324e-06,-1.361e+00,4.545e-01,1.680e-01,9.917e+04,-1.158e+05
8.571e+06,4.852e+00,8.469e-01,-4.500e+02,-1.620e+02,-9.566e+01,-1.670e+01,9.704e-02,1.694e-02,-1.220e+02,3.388e+02,-6.284e+02,3.600e+03,3.854e-06,-8.727e+00,3.743e-06,-1.328e+00,4.565e-01,1.644e-01,1.098e+05,-1.327e+05
8.776e+06,4.859e+00,8.279e-01,-4.733e+02,-1.661e+02,-1.003e+02,-1.709e+01,9.718e-02,1.656e-02,-1.280e+02,3.648e+02,-6.587e+02,3.866e+03,3.343e-06,-8.520e+00,3.251e-06,-1.297e+00,4.585e-01,1.609e-01,1.212e+05,-1.514e+05
8.980e+06,4.865e+00,8.098e-01,-4.971e+02,-1.702e+02,-1.051e+02,-1.749e+01,9.730e-02,1.620e-02,-1.342e+02,3.921e+02,-6.898e+02,4.144e+03,2.910e-06,-8.322e+00,2.833e-06,-1.268e+00,4.603e-01,1.576e-01,1.335e+05,-1.720e+05
9.184e+06,4.871e+00,7.924e-01,-5.214e+02,-1.743e+02,-1.100e+02,-1.789e+01,9.742e-02,1.585e-02,-1.406e+02,4.207e+02,-7.215e+02,4.435e+03,2.540e-06,-8.134e+00,2.476e-06,-1.240e+00,4.620e-01,1.544e-01,1.466e+05,-1.948e+05
9.388e+06,4.877e+00,7.758e-01,-5.464e+02,-1.783e+02,-1.149e+02,-1.829e+01,9.753e-02,1.552e-02,-1.471e+02,4.506e+02,-7.540e+02,4.740e+03,2.224e-06,-7.954e+00,2.171e-06,-1.213e+00,4.636e-01,1.513e-01,1.607e+05,-2.199e+05
9.592e+06,4.882e+00,7.598e-01,-5.718e+02,-1.824e+02,-1.200e+02,-1.868e+01,9.763e-02,1.520e-02,-1.537e+02,4.818e+02,-7.872e+02,5.058e+03,1.954e-06,-7.782e+00,1.908e-06,-1.187e+00,4.651e-01,1.484e-01,1.758e+05,-2.475e+05
9.796e+06,4.887e+00,7.444e-01,-5.978e+02,-1.865e+02,-1.252e+02,-1.908e+01,9.773e-02,1.489e-02,-1.605e+02,5.145e+02,-8.211e+02,5.390e+03,1.720e-06,-7.617e+00,1.682e-06,-1.162e+00,4.665e-01,1.455e-01,1.919e+05,-2.777e+05
1.000e+07,4.891e+00,7.297e-01,-6.244e+02,-1.905e+02,-1.306e+02,-1.948e+01,9.782e-02,1.459e-02,-1.674e+02,5.486e+02,-8.557e+02,5.736e+03,1.519e-06,-7.459e+00,1.487e-06,-1.138e+00,4.678e-01,1.428e-01,2.091e+05,-3.106e+05
