Freq,Re(Av),Im(Av),Re(Ai),Im(Ai),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout)
Hz,,,,,W,W,W,W,Ohms,Ohms,Ohms,Ohms,V,V,V,V,A,A,A,A
2.819e+05,8.643e-01,-5.061e+00,4.161e-01,-1.265e-01,-9.549e-03,-9.347e-03,-1.803e-02,2.378e-02,6.553e+01,2.832e+02,2.643e+02,5.278e+02,3.088e-01,-7.568e-01,-3.564e+00,-2.217e+00,6.175e-03,-1.514e-02,6.542e-04,-7.080e-03
2.886e+05,1.034e+00,-1.018e+00,9.419e-01,-2.545e-02,6.471e-02,-8.541e-02,-2.278e-02,-1.447e-01,4.672e+01,4.807e+01,5.632e+01,5.252e+01,2.073e+00,-1.030e+00,1.095e+00,-3.175e+00,4.146e-02,-2.060e-02,3.852e-02,-2.046e-02
2.953e+05,6.883e-01,3.485e+00,1.012e+00,8.713e-02,-6.420e-03,1.398e-02,-5.263e-02,-1.753e-02,1.039e+02,-2.400e+02,4.849e+01,-1.681e+02,4.733e-01,7.382e-01,-2.247e+00,2.158e+00,9.466e-03,1.476e-02,8.290e-03,1.576e-02
3.020e+05,1.421e-02,6.297e+00,6.117e-01,1.574e-01,2.970e-04,-3.960e-06,-2.766e-04,1.149e-03,2.001e+03,1.367e+01,1.253e+02,-4.825e+02,1.219e-01,-8.123e-04,6.847e-03,7.674e-01,2.437e-03,-1.625e-05,1.494e-03,3.738e-04
3.087e+05,-6.597e-01,6.202e+00,-5.814e-02,1.551e-01,-4.339e-03,-3.556e-03,2.360e-03,5.292e-03,1.089e+02,4.445e+02,1.823e+03,4.710e+02,1.783e-01,-4.987e-01,2.976e+00,1.435e+00,3.565e-03,-9.974e-03,1.339e-03,1.133e-03
3.154e+05,-1.029e+00,3.372e+00,-6.952e-01,8.431e-02,-1.656e-02,-3.168e-02,-8.416e-02,2.660e-02,4.687e+01,1.600e+02,1.019e+02,2.302e+02,6.925e-01,-1.144e+00,3.144e+00,3.513e+00,1.385e-02,-2.287e-02,-7.701e-03,1.707e-02
3.222e+05,-9.483e-01,-8.573e-01,-1.035e+00,-2.143e-02,6.736e-02,6.783e-02,3.311e-03,1.265e-01,5.557e+01,-4.394e+01,4.665e+01,-4.045e+01,2.018e+00,8.402e-01,-1.194e+00,-2.527e+00,4.037e-02,1.680e-02,-4.142e-02,-1.826e-02
3.289e+05,-4.724e-01,-4.683e+00,-9.562e-01,-1.171e-01,-2.290e-03,4.130e-03,-1.850e-02,-1.078e-02,2.111e+02,-4.433e+02,5.387e+01,-2.383e+02,2.466e-01,4.187e-01,1.844e+00,-1.353e+00,4.932e-03,8.374e-03,-3.735e-03,-8.585e-03
3.356e+05,1.865e-01,-6.619e+00,-5.113e-01,-1.655e-01,-1.439e-04,-6.583e-04,2.379e-03,3.014e-04,8.041e+02,1.061e+03,1.731e+02,-5.913e+02,1.151e-01,-1.430e-01,-9.250e-01,-7.886e-01,2.302e-03,-2.860e-03,-1.650e-03,1.081e-03
3.423e+05,7.645e-01,-6.040e+00,1.150e-01,-1.510e-01,-6.076e-03,-4.836e-03,1.090e-03,8.907e-03,8.233e+01,3.788e+02,1.388e+03,8.038e+02,2.055e-01,-5.882e-01,-3.396e+00,-1.691e+00,4.110e-03,-1.176e-02,-1.304e-03,-1.974e-03
3.490e+05,1.053e+00,-3.301e+00,6.910e-01,-8.252e-02,-1.718e-02,-3.445e-02,-8.939e-02,2.499e-02,4.482e+01,1.532e+02,1.032e+02,2.265e+02,7.300e-01,-1.180e+00,-3.126e+00,-3.652e+00,1.460e-02,-2.359e-02,8.142e-03,-1.751e-02
3.557e+05,9.678e-01,5.226e-01,1.026e+00,1.306e-02,9.654e-02,5.247e-02,6.642e-02,1.047e-01,5.337e+01,-2.628e+01,4.747e+01,-2.486e+01,2.272e+00,5.775e-01,1.897e+00,1.746e+00,4.543e-02,1.155e-02,4.647e-02,1.245e-02
3.624e+05,5.616e-01,4.108e+00,1.029e+00,1.027e-01,-3.762e-03,7.111e-03,-3.107e-02,-1.501e-02,1.534e+02,-3.377e+02,4.672e+01,-1.949e+02,3.272e-01,5.433e-01,-2.048e+00,1.649e+00,6.545e-03,1.087e-02,5.621e-03,1.186e-02
3.691e+05,-1.448e-02,6.358e+00,7.228e-01,1.589e-01,2.732e-04,-1.149e-04,2.490e-04,1.372e-03,1.963e+03,4.062e+02,9.129e+01,-4.197e+02,1.193e-01,-2.408e-02,1.514e-01,7.590e-01,2.387e-03,-4.816e-04,1.802e-03,3.125e-05
3.758e+05,-5.747e-01,6.708e+00,2.174e-01,1.677e-01,-2.959e-03,-2.352e-03,6.902e-03,-1.089e-03,1.395e+02,5.429e+02,6.634e+02,-1.031e+03,1.433e-01,-4.105e-01,2.671e+00,1.197e+00,2.866e-03,-8.209e-03,2.000e-03,-1.304e-03
3.826e+05,-9.608e-01,5.209e+00,-3.347e-01,1.302e-01,-1.144e-02,-1.056e-02,-1.565e-02,2.515e-02,5.319e+01,2.639e+02,3.877e+02,6.274e+02,3.213e-01,-8.217e-01,3.972e+00,2.463e+00,6.426e-03,-1.643e-02,-1.051e-05,6.337e-03
3.893e+05,-1.084e+00,2.405e+00,-7.895e-01,6.012e-02,-9.813e-03,-6.065e-02,-1.261e-01,-2.384e-02,4.246e+01,1.086e+02,7.976e+01,1.462e+02,1.136e+00,-1.335e+00,1.979e+00,4.178e+00,2.272e-02,-2.669e-02,-1.633e-02,2.244e-02
3.960e+05,-9.349e-01,-9.061e-01,-1.048e+00,-2.265e-02,6.173e-02,6.718e-02,-6.003e-03,1.243e-01,5.717e+01,-4.707e+01,4.553e+01,-4.226e+01,1.956e+00,8.589e-01,-1.050e+00,-2.575e+00,3.911e-02,1.718e-02,-4.058e-02,-1.888e-02
4.027e+05,-5.747e-01,-3.922e+00,-1.071e+00,-9.805e-02,-3.965e-03,8.089e-03,-3.534e-02,-1.501e-02,1.471e+02,-3.161e+02,4.324e+01,-1.792e+02,3.551e-01,5.695e-01,2.029e+00,-1.720e+00,7.102e-03,1.139e-02,-6.488e-03,-1.289e-02
4.094e+05,-1.023e-01,-6.034e+00,-8.783e-01,-1.508e-01,2.708e-04,3.257e-04,-1.953e-03,1.172e-03,1.505e+03,-7.296e+02,6.295e+01,-3.327e+02,1.318e-01,6.181e-02,3.595e-01,-8.013e-01,2.635e-03,1.236e-03,-2.128e-03,-1.483e-03
4.161e+05,3.752e-01,-6.925e+00,-5.301e-01,-1.731e-01,-1.154e-03,-1.239e-03,6.082e-03,-2.429e-03,2.929e+02,7.878e+02,1.608e+02,-6.007e+02,1.161e-01,-2.668e-01,-1.804e+00,-9.043e-01,2.323e-03,-5.336e-03,-2.155e-03,2.427e-03
4.228e+05,7.682e-01,-6.575e+00,-1.052e-01,-1.644e-01,-5.485e-03,-3.897e-03,8.575e-03,1.426e-03,8.102e+01,4.106e+02,1.313e+03,-1.074e+03,1.763e-01,-5.526e-01,-3.498e+00,-1.584e+00,3.526e-03,-1.105e-02,-2.188e-03,5.829e-04
4.295e+05,1.020e+00,-5.196e+00,3.188e-01,-1.299e-01,-1.287e-02,-1.190e-02,-1.678e-02,2.719e-02,4.730e+01,2.487e+02,4.219e+02,6.429e+02,3.411e-01,-8.718e-01,-4.182e+00,-2.661e+00,6.822e-03,-1.744e-02,-8.977e-05,-6.445e-03
4.362e+05,1.110e+00,-3.131e+00,6.804e-01,-7.828e-02,-1.836e-02,-4.196e-02,-1.024e-01,1.933e-02,4.042e+01,1.383e+02,1.066e+02,2.179e+02,8.282e-01,-1.267e+00,-3.047e+00,-3.999e+00,1.656e-02,-2.533e-02,9.287e-03,-1.853e-02
4.430e+05,1.047e+00,-7.637e-01,9.410e-01,-1.909e-02,9.082e-02,-7.865e-02,3.008e-02,-1.434e-01,4.558e+01,3.563e+01,5.645e+01,3.943e+01,2.297e+00,-8.562e-01,1.751e+00,-2.650e+00,4.593e-02,-1.712e-02,4.289e-02,-1.699e-02
4.497e+05,8.644e-01,1.568e+00,1.086e+00,3.919e-02,1.638e-02,5.629e-02,-8.336e-02,7.781e-02,6.678e+01,-8.765e+01,4.235e+01,-7.066e+01,1.369e+00,1.028e+00,-4.275e-01,3.035e+00,2.739e-02,2.055e-02,2.893e-02,2.339e-02
4.564e+05,6.022e-01,3.610e+00,1.120e+00,9.024e-02,-4.356e-03,1.024e-02,-4.347e-02,-1.428e-02,1.349e+02,-2.795e+02,3.962e+01,-1.580e+02,4.115e-01,6.222e-01,-1.998e+00,1.860e+00,8.231e-03,1.244e-02,8.093e-03,1.468e-02
